F_Id,F_ParentId,F_Layers,F_EnCode,F_FullName,F_SimpleSpelling,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreateTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
220700,220000,2,220700,松原市,sys,220700,,TRUE,,2016/7/20 0:00,,,,,
220800,220000,2,220800,白城市,bcs,220800,,TRUE,,2016/7/20 0:00,,,,,
222400,220000,2,222400,延边朝鲜族自治州,ybzxzzzz,222400,,TRUE,,2016/7/20 0:00,,,,,
230100,230000,2,230100,哈尔滨市,hebs,230100,,TRUE,,2016/7/20 0:00,,,,,
230200,230000,2,230200,齐齐哈尔市,qqhes,230200,,TRUE,,2016/7/20 0:00,,,,,
230300,230000,2,230300,鸡西市,jxs,230300,,TRUE,,2016/7/20 0:00,,,,,
230400,230000,2,230400,鹤岗市,hgs,230400,,TRUE,,2016/7/20 0:00,,,,,
230500,230000,2,230500,双鸭山市,syss,230500,,TRUE,,2016/7/20 0:00,,,,,
230600,230000,2,230600,大庆市,dqs,230600,,TRUE,,2016/7/20 0:00,,,,,
230700,230000,2,230700,伊春市,ycs,230700,,TRUE,,2016/7/20 0:00,,,,,
230800,230000,2,230800,佳木斯市,jmss,230800,,TRUE,,2016/7/20 0:00,,,,,
230900,230000,2,230900,七台河市,qths,230900,,TRUE,,2016/7/20 0:00,,,,,
231000,230000,2,231000,牡丹江市,mdjs,231000,,TRUE,,2016/7/20 0:00,,,,,
231100,230000,2,231100,黑河市,hhs,231100,,TRUE,,2016/7/20 0:00,,,,,
231200,230000,2,231200,绥化市,shs,231200,,TRUE,,2016/7/20 0:00,,,,,
232700,230000,2,232700,大兴安岭地区,dxaldq,232700,,TRUE,,2016/7/20 0:00,,,,,
310100,310000,2,310100,上海市,shs,310100,,TRUE,,2016/7/20 0:00,,,,,
320100,320000,2,320100,南京市,njs,320100,,TRUE,,2016/7/20 0:00,,,,,
320200,320000,2,320200,无锡市,wxs,320200,,TRUE,,2016/7/20 0:00,,,,,
320300,320000,2,320300,徐州市,xzs,320300,,TRUE,,2016/7/20 0:00,,,,,
320400,320000,2,320400,常州市,czs,320400,,TRUE,,2016/7/20 0:00,,,,,
320500,320000,2,320500,苏州市,szs,320500,,TRUE,,2016/7/20 0:00,,,,,
320600,320000,2,320600,南通市,nts,320600,,TRUE,,2016/7/20 0:00,,,,,
320700,320000,2,320700,连云港市,lygs,320700,,TRUE,,2016/7/20 0:00,,,,,
320800,320000,2,320800,淮安市,has,320800,,TRUE,,2016/7/20 0:00,,,,,
320900,320000,2,320900,盐城市,ycs,320900,,TRUE,,2016/7/20 0:00,,,,,
321000,320000,2,321000,扬州市,yzs,321000,,TRUE,,2016/7/20 0:00,,,,,
321100,320000,2,321100,镇江市,zjs,321100,,TRUE,,2016/7/20 0:00,,,,,
321200,320000,2,321200,泰州市,tzs,321200,,TRUE,,2016/7/20 0:00,,,,,
321300,320000,2,321300,宿迁市,sqs,321300,,TRUE,,2016/7/20 0:00,,,,,
330100,330000,2,330100,杭州市,hzs,330100,,TRUE,,2016/7/20 0:00,,,,,
330200,330000,2,330200,宁波市,nbs,330200,,TRUE,,2016/7/20 0:00,,,,,
330300,330000,2,330300,温州市,wzs,330300,,TRUE,,2016/7/20 0:00,,,,,
330400,330000,2,330400,嘉兴市,jxs,330400,,TRUE,,2016/7/20 0:00,,,,,
330500,330000,2,330500,湖州市,hzs,330500,,TRUE,,2016/7/20 0:00,,,,,
330600,330000,2,330600,绍兴市,sxs,330600,,TRUE,,2016/7/20 0:00,,,,,
330700,330000,2,330700,金华市,jhs,330700,,TRUE,,2016/7/20 0:00,,,,,
330800,330000,2,330800,衢州市,qzs,330800,,TRUE,,2016/7/20 0:00,,,,,
330900,330000,2,330900,舟山市,zss,330900,,TRUE,,2016/7/20 0:00,,,,,
331000,330000,2,331000,台州市,tzs,331000,,TRUE,,2016/7/20 0:00,,,,,
331100,330000,2,331100,丽水市,lss,331100,,TRUE,,2016/7/20 0:00,,,,,
340100,340000,2,340100,合肥市,hfs,340100,,TRUE,,2016/7/20 0:00,,,,,
340200,340000,2,340200,芜湖市,whs,340200,,TRUE,,2016/7/20 0:00,,,,,
420100,420000,2,420100,武汉市,whs,420100,,TRUE,,2016/7/20 0:00,,,,,
420200,420000,2,420200,黄石市,hss,420200,,TRUE,,2016/7/20 0:00,,,,,
420300,420000,2,420300,十堰市,sys,420300,,TRUE,,2016/7/20 0:00,,,,,
420500,420000,2,420500,宜昌市,ycs,420500,,TRUE,,2016/7/20 0:00,,,,,
420600,420000,2,420600,襄阳市,xys,420600,,TRUE,,2016/7/20 0:00,,,,,
420700,420000,2,420700,鄂州市,ezs,420700,,TRUE,,2016/7/20 0:00,,,,,
420800,420000,2,420800,荆门市,jms,420800,,TRUE,,2016/7/20 0:00,,,,,
420900,420000,2,420900,孝感市,xgs,420900,,TRUE,,2016/7/20 0:00,,,,,
421000,420000,2,421000,荆州市,jzs,421000,,TRUE,,2016/7/20 0:00,,,,,
421100,420000,2,421100,黄冈市,hgs,421100,,TRUE,,2016/7/20 0:00,,,,,
421200,420000,2,421200,咸宁市,xns,421200,,TRUE,,2016/7/20 0:00,,,,,
421300,420000,2,421300,随州市,szs,421300,,TRUE,,2016/7/20 0:00,,,,,
422800,420000,2,422800,恩施土家族苗族自治州,estjzmzzzz,422800,,TRUE,,2016/7/20 0:00,,,,,
430100,430000,2,430100,长沙市,zss,430100,,TRUE,,2016/7/20 0:00,,,,,
430200,430000,2,430200,株洲市,zzs,430200,,TRUE,,2016/7/20 0:00,,,,,
430300,430000,2,430300,湘潭市,xts,430300,,TRUE,,2016/7/20 0:00,,,,,
430400,430000,2,430400,衡阳市,hys,430400,,TRUE,,2016/7/20 0:00,,,,,
430500,430000,2,430500,邵阳市,sys,430500,,TRUE,,2016/7/20 0:00,,,,,
430600,430000,2,430600,岳阳市,yys,430600,,TRUE,,2016/7/20 0:00,,,,,
430700,430000,2,430700,常德市,cds,430700,,TRUE,,2016/7/20 0:00,,,,,
430800,430000,2,430800,张家界市,zjjs,430800,,TRUE,,2016/7/20 0:00,,,,,
430900,430000,2,430900,益阳市,yys,430900,,TRUE,,2016/7/20 0:00,,,,,
431000,430000,2,431000,郴州市,czs,431000,,TRUE,,2016/7/20 0:00,,,,,
431100,430000,2,431100,永州市,yzs,431100,,TRUE,,2016/7/20 0:00,,,,,
431200,430000,2,431200,怀化市,hhs,431200,,TRUE,,2016/7/20 0:00,,,,,
431300,430000,2,431300,娄底市,lds,431300,,TRUE,,2016/7/20 0:00,,,,,
